source_year,record_no,date_text,location_text,category_text,body_text,source_url,raw_html_file,relation_scope,matched_keywords,initial_inclusion_suggestion,suggestion_reason,pin_label_draft,review_status,reviewer_note
2026,1,4月1日(水曜日)午後1時10分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から北へ1キロメートル地点,目撃,4月1日(水曜日)午後1時10分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から北へ1キロメートル地点で北から南へ移動するクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,chitose-city_2026_2026-06-09.html,支笏湖周辺,"支笏湖, 西森, 道道支笏湖公園線, 国道453号",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2026.04 目撃,未確認,
2025,60,10月24日(金曜日)午前3時40分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近,目撃,10月24日(金曜日)午前3時40分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近で南から北へ横断するクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 西森, 道道支笏湖公園線, 国道453号",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.10 目撃,未確認,
2025,56,10月16日(木曜日) 午後4時20分頃,千歳市水明郷の道道支笏湖公園線（16号線）の烏柵舞林道入口から支笏湖方面に約300メートル進んだ付近,目撃,10月16日(木曜日) 午後4時20分頃、千歳市水明郷の道道支笏湖公園線（16号線）の烏柵舞林道入口から支笏湖方面に約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.10 目撃,未確認,
2025,55,10月16日(木曜日)午後2時10分頃,千歳市蘭越の道道支笏湖公園線（16号線）の蘭越共同墓地入口付近,目撃,10月16日(木曜日)午後2時10分頃、千歳市蘭越の道道支笏湖公園線（16号線）の蘭越共同墓地入口付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.10 目撃,未確認,
2025,54,10月16日(木曜日) 午前11時50分頃,千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約300メートル進んだ付近,目撃,10月16日(木曜日) 午前11時50分頃、千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.10 目撃,未確認,
2025,52,9月27日(土曜日) 午後4時35分頃,千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約2キロメートル進んだ付近,目撃,9月27日(土曜日) 午後4時35分頃、千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約2キロメートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.09 目撃,未確認,
2025,51,9月24日(水曜日) 午後6時30分頃,千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近,目撃,9月24日(水曜日) 午後6時30分頃、千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,美笛近接,"美笛, 支笏湖, 道道支笏湖線, 国道276号",公開候補,美笛関連キーワード一致: 美笛,2025.09 目撃,未確認,
2025,50,9月20日(土曜日) 午後3時15分頃,千歳市幌美内の国道453号丸駒橋付近,目撃,9月20日(土曜日) 午後3時15分頃、千歳市幌美内の国道453号丸駒橋付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"幌美内, 丸駒, 国道453号",周辺参考候補,"支笏湖周辺キーワード一致: 幌美内, 丸駒",2025.09 目撃,未確認,
2025,48,8月22日（金曜日）午後6時00分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約200メートル進んだ付近,目撃,8月22日（金曜日）午後6時00分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 西森, 道道支笏湖公園線, 国道453号",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.08 目撃,未確認,
2025,46,8月16日(土曜日)午前5時10分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近,目撃,8月16日(土曜日)午前5時10分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近で北から南へ横断するクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 西森, 道道支笏湖公園線, 国道453号",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.08 目撃,未確認,
2025,43,7月30日(水曜日) 午前6時50分頃,千歳市幌美内のポロピナイ展望台付近,目撃,7月30日(水曜日) 午前6時50分頃、千歳市幌美内のポロピナイ展望台付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"幌美内, ポロピナイ",周辺参考候補,"支笏湖周辺キーワード一致: 幌美内, ポロピナイ",2025.07 目撃,未確認,
2025,37,7月24日(木曜日) 午後3時25分頃,千歳市幌美内のポロピナイ展望台から西へ約700メートル進んだ付近,目撃,7月24日(木曜日) 午後3時25分頃、千歳市幌美内のポロピナイ展望台から西へ約700メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"幌美内, ポロピナイ",周辺参考候補,"支笏湖周辺キーワード一致: 幌美内, ポロピナイ",2025.07 目撃,未確認,
2025,36,7月23日(水曜日) 午後4時40分頃,千歳市幌美内のポロピナイ展望台付近,目撃,7月23日(水曜日) 午後4時40分頃、千歳市幌美内のポロピナイ展望台付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"幌美内, ポロピナイ",周辺参考候補,"支笏湖周辺キーワード一致: 幌美内, ポロピナイ",2025.07 目撃,未確認,
2025,31,7月2日(水曜日)午後3時57分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から南へ約300メートル進んだ付近,目撃,7月2日(水曜日)午後3時57分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から南へ約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 西森, 道道支笏湖公園線, 国道453号",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.07 目撃,未確認,
2025,30,7月2日(水曜日)午前9時05分頃,千歳市水明郷の道道支笏湖公園線（16号線）の第一発電所バス停から千歳市街地方向へ約400メートル進んだ付近,目撃,7月2日(水曜日)午前9時05分頃、千歳市水明郷の道道支笏湖公園線（16号線）の第一発電所バス停から千歳市街地方向へ約400メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.07 目撃,未確認,
2025,28,6月27日(金曜日) 午後1時00分頃,千歳市幌美内の国道453号と道道丸駒線（730号線）の交差点から西へ約300メートル進んだ付近,目撃,6月27日(金曜日) 午後1時00分頃、千歳市幌美内の国道453号と道道丸駒線（730号線）の交差点から西へ約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"幌美内, 丸駒, 国道453号",周辺参考候補,"支笏湖周辺キーワード一致: 幌美内, 丸駒",2025.06 目撃,未確認,
